symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
MLCO,2015-12-31,2015,16.34,1.63370192E9,26694689372.8,1928144000.0,4115501000.0,28882046372.8
MLCO,2014-12-31,2014,25.02,1.666633448E9,41699168868.96,3414238000.0,4204320000.0,42489250868.96
DHI,2019-09-30,2019,52.19,3.726E8,19445994000.0,1494300000.0,3399400000.0,21351094000.0
DHI,2018-09-30,2018,36.36,3.766E8,13693176000.0,1473100000.0,3203500000.0,15423576000.0
DHI,2017-09-30,2017,44.31,3.743E8,16585233000.0,1007800000.0,2871600000.0,18449033000.0
DHI,2016-09-30,2016,28.64,3.71E8,10625440000.0,1303200000.0,3271300000.0,12593540000.0
DHI,2015-09-30,2015,29.44,3.663E8,10783872000.0,1383800000.0,3811500000.0,13211572000.0
DHI,2014-09-30,2014,22.81,3.405E8,7766805000.0,661800000.0,3682800000.0,10787805000.0
HRB,2019-04-30,2019,24.33,2.05372E8,4996700760.0,1572150000.0,1697605000.0,5122155760.0
HRB,2018-04-30,2018,24.57,2.08824E8,5130805680.0,1544944000.0,1495635000.0,5081496680.0
HRB,2017-04-30,2017,23.25,2.12809E8,4947809250.0,1011331000.0,1493998000.0,5430476250.0
HRB,2016-04-30,2016,26.42,2.49009E8,6578817780.0,896801000.0,1502751000.0,7184767780.0
HRB,2015-04-30,2015,32.07,2.75033E8,8820308310.0,2007190000.0,506088000.0,7319206310.0
HRB,2014-04-30,2014,30.19,2.7383E8,8266927700.0,2185307000.0,906474000.0,6988094700.0
IPG,2019-12-31,2019,23.2,3.861E8,8957520000.0,1192200000.0,3273900000.0,11039220000.0
IPG,2018-12-31,2018,22.72,3.833E8,8708576000.0,673400000.0,3660300000.0,11695476000.0
IPG,2017-12-31,2017,21.7,3.896E8,8454320000.0,790900000.0,1287600000.0,8951020000.0
IPG,2016-12-31,2016,23.91,3.979E8,9513789000.0,1097600000.0,1604600000.0,10020789000.0
IPG,2015-12-31,2015,22.44,4.081E8,9157764000.0,1502900000.0,1612200000.0,9267064000.0
IPG,2014-12-31,2014,19.94,4.192E8,8358848000.000001,1660600000.0,1625600000.0,8323848000.000001
WTW,2018-12-01,2018,68.49,0.0,0.0,237000000.0,1747000000.0,1510000000.0
WTW,2017-12-01,2017,45.15,0.0,0.0,83000000.0,1824000000.0,1741000000.0
WTW,2016-12-01,2016,10.24,0.0,0.0,109000000.0,2002000000.0,1893000000.0
WTW,2015-12-01,2015,16.14,0.0,0.0,242000000.0,2234000000.0,1992000000.0
WTW,2014-12-01,2014,24.92,0.0,0.0,301000000.0,2358000000.0,2057000000.0
NYT,2019-12-29,2019,32.8,1.66042E8,5446177600.0,230431000.0,0.0,5215746600.0
NYT,2018-12-31,2018,25.99,1.64845E8,4284321549.9999995,241504000.0,253630000.0,4296447550.0
NYT,2018-12-30,2018,26.18,1.64950105E8,4318393748.9,241504000.0,0.0,4076889748.8999996
NYT,2017-12-31,2017,23.55,1.61926E8,3813357300.0,182911000.0,250209000.0,3880655300.0
NYT,2016-12-25,2016,13.1,1.61128E8,2110776800.0,100692000.0,246978000.0,2257062800.0
NYT,2015-12-27,2015,13.03,1.6439E8,2142001700.0,105776000.0,431228000.0,2467453700.0
NYT,2014-12-28,2014,13.13,1.50673E8,1978336490.0,176607000.0,650120000.0,2451849490.0
TV,2018-12-31,2018,13.73,1.74116502180612E10,239061957493.9803,1637718520.4082,6683000204.0816,244107239177.6537
TV,2017-12-31,2017,18.3,1.73496870500254E10,317499273015.4648,2274968327.4021,6782096187.086901,322006400875.1496
TV,2016-12-31,2016,20.25,1.63258915087305E10,330599303051.7926,2558571387.2275,6756211122.901799,334796942787.4669
TV,2015-12-31,2015,29.12,1.9612242165168E10,571108491849.6921,3175005743.4588,6810926901.433001,574744413007.6664
TV,2014-12-31,2014,36.61,2.27520020881595E10,832950796447.5193,2340833785.4333,5919035670.6903,836528998332.7762
SEE,2019-12-31,2019,36.67,1.543E8,5658181000.0,262400000.0,3715300000.0,9111081000.0
SEE,2018-12-31,2018,39.09,1.594E8,6230946000.000001,271700000.0,3241400000.0,9200646000.0
SEE,2017-12-31,2017,48.16,1.869E8,9001104000.0,594000000.0,3232700000.0,11639804000.0
SEE,2016-12-31,2016,48.58,1.943E8,9439094000.0,363700000.0,4266400000.0,13341794000.0
SEE,2015-12-31,2015,40.53,2.039E8,8264067000.0,358400000.0,4349300000.0,12254967000.0
SEE,2014-12-31,2014,40.5,2.1E8,8505000000.0,322600000.0,4283600000.0,12466000000.0
M,2020-02-01,2020,12.99,3.097E8,4023003000.0,685000000.0,4160000000.0,7498003000.0
M,2019-02-02,2019,24.36,3.077E8,7495572000.0,1162000000.0,4751000000.0,11084572000.0
M,2018-02-03,2018,30.35,3.054E8,9268890000.0,1455000000.0,5883000000.0,13696890000.0
M,2017-01-28,2017,33.57,3.085E8,10356345000.0,1297000000.0,6871000000.0,15930345000.0
M,2016-01-30,2016,43.21,3.284E8,14190164000.0,1109000000.0,7637000000.0,20718164000.0
M,2015-01-31,2015,63.9,3.552E8,22697280000.0,2246000000.0,7341000000.0,27792280000.0
M,2014-02-01,2014,57.62,3.783E8,21797646000.0,2273000000.0,7191000000.0,26715646000.0
TSLA,2019-12-31,2019,640.81,1.77E8,113423369999.99998,6268000000.0,2163000000.0,109318369999.99998
TSLA,2018-12-31,2018,308.77,1.70525E8,52653004250.0,3685618000.0,11971371000.0,60938757250.0
TSLA,2017-12-31,2017,345.82,1.65758E8,57322431560.0,3367914000.0,10212249000.0,64166766560.0
TSLA,2016-12-31,2016,250.63,1.44212E8,36143853560.0,3393216000.0,6844260000.0,39594897560.0
TSLA,2015-12-31,2015,191.2,1.28202E8,24512222400.0,1196908000.0,2673541000.0,25988855400.0
TSLA,2014-12-31,2014,203.6,1.24539343E8,25356210234.8,1905713000.0,21799000.0,23472296234.8
TPR,2019-06-29,2019,30.61,2.894E8,8858534000.0,969200000.0,1602700000.0,9492034000.0
TPR,2018-06-30,2018,47.53,2.854E8,13565062000.0,1243400000.0,1600600000.0,13922262000.0
TPR,2017-07-01,2017,47.14,2.806E8,13227484000.0,2672900000.0,1600000000.0,12154584000.0
TPR,2016-07-02,2016,43.46,2.776E8,12064496000.0,859000000.0,876200000.0,12081696000.0
TPR,2015-06-27,2015,30.75,2.757E8,8477775000.0,1291800000.0,890400000.0,8076375000.0
TPR,2014-06-28,2014,34.65,2.7779E8,9625423500.0,591923000.0,140485000.0,9173985500.0
LKQ,2019-12-31,2019,33.61,3.10155E8,10424309550.0,0.0,1359124000.0,11783433550.0
LKQ,2018-12-31,2018,26.57,3.14428E8,8354351960.0,331761000.0,61109000.0,8083699960.0
LKQ,2017-12-31,2017,42.19,3.08607E8,13020129330.0,279766000.0,45727000.0,12786090330.0
LKQ,2016-12-31,2016,31.85,3.06897E8,9774669450.0,227400000.0,37943000.0,9585212450.0
LKQ,2015-12-31,2015,27.4,3.04722E8,8349382800.0,87397000.0,31596000.0,8293581800.0
LKQ,2014-12-31,2014,25.81,3.02343E8,7803472830.0,114605000.0,1864562000.0,9553429830.0
FCAU,2018-12-31,2018,17.26,2.2402660425287E9,38666991894.045364,14310344827.5862,16936781609.1954,41293428675.654564
FCAU,2017-12-31,2017,17.09,2.3252190708283E9,39737993920.45565,15171668667.467,21740696278.5114,46307021531.500046
FCAU,2016-12-31,2016,7.74,1.7872608189474E9,13833398738.652878,18229473684.2105,26047368421.0526,21651293475.49498
FCAU,2015-12-31,2015,9.37,1.83915447557E9,17232877436.090897,22434310532.0304,30968512486.4278,25767079390.488297
FCAU,2014-12-31,2014,8.36,2.0506795060533E9,17143680670.605585,27651331719.1283,41733656174.3342,31226005125.811485
LULU,2020-02-02,2020,227.13,1.30393E8,29616162090.0,387400000.0,739961000.0,29968723090.0
LULU,2019-02-03,2019,148.9,1.33413E8,19865195700.0,881320000.0,3000000.0,18986875700.0
LULU,2018-01-28,2018,80.46,1.35988E8,10941594480.0,990501000.0,2400000.0,9953493480.0
LULU,2017-01-29,2017,65.26,1.37086E8,8946232360.0,734846000.0,1600000.0,8212986360.0
LULU,2016-01-31,2016,62.74,1.40365E8,8806500100.0,501482000.0,0.0,8305018100.0
LULU,2015-02-01,2015,65.87,1.43935E8,9480998450.0,664479000.0,0.0,8816519450.0
LULU,2014-02-02,2014,50.01,1.44913E8,7247099130.0,698649000.0,0.0,6548450130.0
UAA,2019-12-31,2019,20.86,4.50964E8,9407109040.0,788072000.0,592687000.0,9211724040.0
UAA,2018-12-31,2018,20.92,2.21001E8,4623340920.0,557403000.0,728834000.0,4794771920.0
UAA,2017-12-31,2017,14.11,2.21475E8,3125012250.0,312483000.0,792046000.0,3604575250.0
UAA,2016-12-31,2016,28.94,2.18623E8,6326949620.0,250470000.0,817388000.0,6893867620.0
UAA,2015-12-31,2015,42.72,2.15498E8,9206074560.0,129852000.0,394000000.0,9470222560.0
UAA,2014-12-31,2014,36.04,2.13227E8,7684701080.0,593175000.0,284201000.0,7375727080.0
GTN,2018-12-31,2018,18.54,8.8084E7,1633077360.0,666980000.0,2549224000.0,3515321360.0
GTN,2017-12-31,2017,14.5,7.3061E7,1059384500.0,462399000.0,1837428000.0,2434413500.0
GTN,2016-12-31,2016,10.2,7.1848E7,732849600.0,325189000.0,1756747000.0,2164407600.0
GTN,2015-12-31,2015,16.94,6.833E7,1157510200.0,97318000.0,1235537000.0,2295729200.0
GTN,2014-12-31,2014,10.16,5.7862E7,587877920.0,30769000.0,1792839000.0,2349947920.0
